,Type,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
1263,Passat,Volkswagen,Automatic,Other,Full,2015,2.5,70000,73000
1266,Accent,Hyundai,Automatic,Saudi,Standard,2018,1.4,67000,32000
1268,The 7,BMW,Automatic,Saudi,Full,2004,3.6,297000,11500
1269,Camry,Toyota,Automatic,Saudi,Standard,2017,2.5,319000,46000
1270,Land Cruiser,Toyota,Automatic,Saudi,Full,2018,4.6,141197,195000
1271,Passat,Volkswagen,Automatic,Saudi,Standard,2016,2.5,49000,49000
1272,Expedition,Ford,Automatic,Saudi,Standard,2013,5.4,78000,64000
1274,Yaris,Toyota,Automatic,Saudi,Standard,2017,1.6,167000,29000
1276,Delta,Others,Manual,Saudi,Full,2014,3.7,100,35000
1277,Civic,Honda,Automatic,Saudi,Standard,2017,1.5,200000,38000
1278,Elantra,Hyundai,Automatic,Gulf Arabic,Full,2017,1.6,136000,39000
1281,VTC,Nissan,Manual,Saudi,Standard,2014,4.0,207000,65000
1284,Explorer,Ford,Automatic,Saudi,Full,2015,2.0,40000,90000
1287,Fusion,Ford,Automatic,Saudi,Semi Full,2014,2.0,260000,30000
1289,Taurus,Ford,Automatic,Saudi,Standard,2013,1.6,251,35000
1290,E,Mercedes,Automatic,Gulf Arabic,Semi Full,2018,2.0,250000,105000
1291,Datsun,Nissan,Manual,Saudi,Full,2015,2.4,200000,35000
1294,Accent,Hyundai,Automatic,Saudi,Standard,2016,1.6,214000,23500
1295,Charger,Dodge,Automatic,Other,Full,2016,5.7,123000,109000
1297,Acadia,GMC,Automatic,Saudi,Standard,2011,3.6,187000,22000
1299,Hilux,Toyota,Manual,Saudi,Standard,2014,1.0,160,50000
1301,Lancer,Mitsubishi,Automatic,Other,Standard,2009,1.6,222835,11500
1303,Taurus,Ford,Automatic,Other,Full,2015,3.0,217000,49000
1305,Accent,Hyundai,Automatic,Saudi,Standard,2017,1.4,53000,35000
1306,Sonata,Hyundai,Automatic,Saudi,Semi Full,2011,2.4,186000,25000
1307,Avanza,Toyota,Automatic,Saudi,Standard,2016,1.6,160000,28000
1308,H3,Others,Automatic,Other,Full,2006,3.5,236000,22000
1309,Rav4,Toyota,Automatic,Saudi,Standard,2018,2.5,153000,66000
1310,Taurus,Ford,Automatic,Saudi,Standard,2017,3.5,153889,68000
1312,GS3,Others,Automatic,Other,Full,2021,1.3,22600,50000
1315,ES,Lexus,Automatic,Gulf Arabic,Full,2017,3.5,50000,127000
1316,Datsun,Nissan,Manual,Saudi,Standard,2015,2.4,77000,53000
1317,The 3,BMW,Automatic,Saudi,Full,2014,2.0,84000,60000
1320,Accord,Honda,Automatic,Saudi,Standard,2017,2.4,104000,79000
1322,Land Cruiser Pickup,Toyota,Manual,Saudi,Full,2018,4.0,28000,147000
1323,Hilux,Toyota,Manual,Gulf Arabic,Semi Full,2017,2.7,83000,76000
1324,Land Cruiser,Toyota,Automatic,Saudi,Standard,2009,5.0,319,75000
1325,Elantra,Hyundai,Automatic,Saudi,Standard,2019,1.6,56536,47000
1328,Camry,Toyota,Automatic,Gulf Arabic,Full,2016,2.6,183000,70000
1329,Wrangler,Jeep,Manual,Gulf Arabic,Standard,2018,3.6,40000,115000
1331,Hiace,Toyota,Manual,Saudi,Standard,2016,2.7,350000,60000
1332,Yukon,GMC,Automatic,Saudi,Standard,2012,5.3,65000,80000
1333,6,Mazda,Automatic,Saudi,Standard,2019,2.5,71187,76500
1335,Patrol,Nissan,Automatic,Saudi,Full,2017,4.6,31538,161500
1336,Malibu,Chevrolet,Automatic,Saudi,Full,2013,3.6,177000,30000
1338,Corolla,Toyota,Automatic,Saudi,Standard,2018,1.6,90000,48500
1340,Sunny,Nissan,Automatic,Saudi,Standard,2017,1.5,109763,21500
1341,Senta fe,Hyundai,Automatic,Saudi,Semi Full,2013,3.3,16700,52000
1344,Land Cruiser,Toyota,Automatic,Saudi,Semi Full,2003,4.5,397000,34000
1345,Tahoe,Chevrolet,Automatic,Other,Full,2016,5.3,149000,149000
1346,Hilux,Toyota,Manual,Saudi,Full,2019,2.7,28000,72500
1347,Corolla,Toyota,Automatic,Saudi,Standard,2009,1.6,480000,15000
1348,CX9,Mazda,Automatic,Saudi,Standard,2020,2.5,31200,110000
1349,Azera,Hyundai,Automatic,Saudi,Full,2016,3.0,350000,41000
1350,Taurus,Ford,Automatic,Other,Semi Full,2019,3.5,108000,88000
1351,Sonata,Hyundai,Automatic,Saudi,Standard,2016,2.4,191000,45000
1352,Elantra,Hyundai,Automatic,Gulf Arabic,Semi Full,2017,2.0,51000,42000
1353,Odyssey,Honda,Automatic,Saudi,Standard,2020,3.5,40000,100000
1354,E,Mercedes,Automatic,Gulf Arabic,Full,2016,3.0,117000,110000
1355,G80,Genesis,Automatic,Gulf Arabic,Full,2017,3.8,66000,119000
1356,ML,Mercedes,Automatic,Saudi,Semi Full,2002,3.2,297846,17000
1357,Coupe,Genesis,Automatic,Saudi,Full,2014,3.8,89000,65000
1358,Ciocca,Toyota,Automatic,Saudi,Semi Full,2009,5.7,275000,55000
1359,Accent,Hyundai,Automatic,Saudi,Standard,2017,1.4,168000,29000
1360,Innova,Toyota,Automatic,Saudi,Standard,2017,2.7,145997,64000
1362,Cayenne S,Others,Automatic,Saudi,Full,2014,3.0,118000,145000
1365,Suburban,Chevrolet,Automatic,Saudi,Standard,2015,5.3,164000,110000
1366,Cayenne Turbo,Others,Automatic,Other,Full,2008,4.8,152750,50000
1367,Land Cruiser,Toyota,Automatic,Gulf Arabic,Full,2013,1.0,495,90000
1368,Accent,Hyundai,Automatic,Saudi,Standard,2018,1.4,102109,35000
1370,CX9,Mazda,Automatic,Saudi,Full,2014,3.5,195000,46000
1372,Sunny,Nissan,Automatic,Saudi,Standard,2019,1.5,88795,26500
1373,Marquis,Ford,Automatic,Other,Full,2010,5.0,270000,19000
1376,ES,Lexus,Automatic,Unknown,Full,2021,3.5,1300,175000
1377,Rav4,Toyota,Automatic,Other,Full,2018,2.7,56625,82500
1378,Camry,Toyota,Manual,Saudi,Standard,2008,2.5,298000,20000
1380,Taurus,Ford,Automatic,Saudi,Standard,2014,3.6,322000,47500
1382,Colorado,Chevrolet,Manual,Saudi,Standard,2013,2.0,196000,28000
1383,Camry,Toyota,Automatic,Saudi,Semi Full,2017,2.4,190000,54000
1386,Hilux,Toyota,Manual,Saudi,Full,2015,2.7,157000,60000
1387,C,Mercedes,Automatic,Other,Full,2017,2.0,54000,153000
1388,Sunny,Nissan,Automatic,Saudi,Standard,2016,1.5,200000,20000
1389,Ciocca,Toyota,Automatic,Saudi,Semi Full,2016,5.7,333000,78000
1390,Suburban,GMC,Automatic,Saudi,Semi Full,2004,5.3,111878,15000
1392,Focus,Ford,Automatic,Unknown,Standard,2011,1.6,181000,10000
1395,Optima,Kia,Automatic,Saudi,Full,2016,2.4,161000,68000
1396,Sonata,Hyundai,Automatic,Saudi,Semi Full,2013,2.4,344506,30000
1397,Furniture,Toyota,Automatic,Saudi,Standard,2020,2.7,1200,110000
1400,Yukon,GMC,Automatic,Saudi,Full,2008,7.2,299000,30000
1401,Taurus,Ford,Automatic,Other,Semi Full,2017,3.5,131000,67000
1402,Attrage,Mitsubishi,Automatic,Saudi,Standard,2020,1.2,15000,25000
1405,RX,Lexus,Automatic,Saudi,Full,2015,3.5,73000,110000
1407,Marquis,Ford,Automatic,Other,Standard,2001,4.6,293,10000
1411,Land Cruiser,Toyota,Automatic,Saudi,Full,2011,4.6,145000,95000
1413,Accent,Hyundai,Automatic,Saudi,Standard,2017,1.4,133000,25000
1415,Camry,Toyota,Automatic,Gulf Arabic,Standard,2019,2.5,34727,83000
1416,3,Mazda,Automatic,Saudi,Full,2015,2.0,74000,55000
1417,Charger,Dodge,Automatic,Saudi,Full,2014,5.7,178,50000
1418,Charger,Dodge,Automatic,Saudi,Semi Full,2019,3.6,56000,108000
1420,C,Mercedes,Automatic,Saudi,Semi Full,2015,2.0,73000,90000
1421,3,Mazda,Automatic,Gulf Arabic,Full,2017,1.6,92000,59000
1422,Elantra,Hyundai,Automatic,Saudi,Standard,2020,1.6,15800,58000
1424,Vitara,Others,Manual,Saudi,Standard,2006,1.0,139000,12000
1425,Patrol,Nissan,Automatic,Saudi,Full,2014,4.0,25000,115000
1428,Range Rover,Land Rover,Automatic,Saudi,Full,2014,5.0,97500,195000
1429,Dyna,Isuzu,Manual,Saudi,Standard,2013,7.0,300,82000
1431,Kaptiva,Chevrolet,Automatic,Saudi,Semi Full,2012,1.9,50000,27000
1432,C300,Chrysler,Automatic,Saudi,Full,2013,1.0,220,42000
1437,Tahoe,Chevrolet,Automatic,Saudi,Semi Full,2013,5.3,342000,53000
1438,Tucson,Hyundai,Automatic,Saudi,Semi Full,2013,2.0,120000,32000
1439,Nativa,Mitsubishi,Automatic,Saudi,Semi Full,2010,3.0,244,17000
1440,Land Cruiser,Toyota,Automatic,Saudi,Full,2011,4.0,349266,100000
1441,Dokker,Renault,Manual,Saudi,Standard,2016,1.5,122000,21500
1442,Traverse,Chevrolet,Automatic,Saudi,Semi Full,2017,2.4,110000,49000
1443,C300,Chrysler,Automatic,Saudi,Standard,2017,3.6,133000,70000
1444,CLS,Mercedes,Automatic,Saudi,Full,2007,6.3,178000,33000
1446,E,Mercedes,Automatic,Other,Full,2017,2.0,66000,162000
1447,Victoria,Ford,Automatic,Saudi,Standard,2011,4.6,128000,43000
1448,Prado,Toyota,Automatic,Gulf Arabic,Full,2019,4.0,89000,151000
1449,Suburban,Chevrolet,Automatic,Saudi,Full,2011,5.3,282000,60000
1450,Yaris,Toyota,Automatic,Saudi,Semi Full,2017,1.2,82000,34000
1452,ML,Mercedes,Automatic,Gulf Arabic,Full,2013,5.5,140000,120000
1454,Elantra,Hyundai,Automatic,Saudi,Standard,2017,2.0,237000,42000
1455,Hilux,Toyota,Manual,Saudi,Full,2009,2.7,400,32000
1457,Datsun,Nissan,Manual,Saudi,Semi Full,2015,2.5,174436,35000
1460,Cerato,Kia,Automatic,Saudi,Standard,2019,1.6,30799,45000
1462,Victoria,Ford,Automatic,Saudi,Semi Full,2008,4.6,3666,16000
1464,H1,Hyundai,Automatic,Saudi,Standard,2016,2.4,154000,54000
1465,6,Mazda,Automatic,Saudi,Semi Full,2014,2.0,250000,31000
1466,Elantra,Hyundai,Automatic,Saudi,Standard,2019,1.6,103358,48500
1467,Prado,Toyota,Automatic,Gulf Arabic,Semi Full,2018,4.0,80000,142000
1469,Elantra,Hyundai,Automatic,Saudi,Standard,2020,1.6,20939,57500
1471,ES,Lexus,Automatic,Other,Full,2016,3.5,50000,126000
1473,Sonata,Hyundai,Automatic,Saudi,Full,2012,2.5,221000,30000
1476,ES,Lexus,Automatic,Gulf Arabic,Full,2017,3.5,75000,125000
1477,The 7,BMW,Automatic,Saudi,Full,2016,2.0,134000,150000
1478,Accent,Hyundai,Automatic,Saudi,Full,2017,1.6,140000,30000
1480,Mustang,Ford,Automatic,Other,Full,2019,2.3,52000,139000
1483,Yukon,GMC,Automatic,Saudi,Standard,2012,5.3,235000,67000
1484,Accent,Hyundai,Automatic,Saudi,Standard,2016,1.6,147000,24000
1486,LF X60,Others,Automatic,Saudi,Full,2016,1.6,128000,25000
1488,Taurus,Ford,Automatic,Saudi,Full,2015,3.0,197000,58000
1489,Sunny,Nissan,Automatic,Saudi,Semi Full,2018,1.5,58244,30000
1490,Ciocca,Toyota,Automatic,Saudi,Semi Full,2010,5.7,270000,65000
1493,The 3,BMW,Automatic,Saudi,Full,2011,2.5,74000,35000
1495,Hilux,Toyota,Manual,Saudi,Full,2015,2.7,276,57000
1496,Land Cruiser 70,Toyota,Manual,Saudi,Standard,2003,1.6,230000,69000
1497,C,Mercedes,Automatic,Saudi,Semi Full,2015,2.0,99000,91500
1499,FJ,Toyota,Automatic,Saudi,Full,2016,4.0,148,98000
1501,Hilux,Toyota,Manual,Saudi,Full,2018,2.7,48000,90000
1502,Rav4,Toyota,Automatic,Saudi,Semi Full,2017,2.4,190000,60000
1504,Marquis,Ford,Automatic,Other,Full,2008,4.6,171000,27000
1506,Accent,Hyundai,Automatic,Saudi,Standard,2016,1.4,111,22000
1507,Tucson,Hyundai,Automatic,Saudi,Standard,2018,1.6,146000,75000
1510,Sunny,Nissan,Automatic,Saudi,Standard,2018,1.5,105499,25000
1514,Impala,Chevrolet,Automatic,Gulf Arabic,Full,2016,3.5,152000,70000
1515,A3,Audi,Automatic,Saudi,Semi Full,2016,1.4,70278,69500
1516,Aurion,Toyota,Automatic,Saudi,Full,2009,3.5,373000,33500
1517,Hilux,Toyota,Manual,Saudi,Full,2018,2.7,94458,91500
1518,Victoria,Ford,Automatic,Saudi,Standard,2008,4.6,21000,13000
1519,Sierra,GMC,Automatic,Saudi,Standard,2013,5.3,300000,45000
1520,Furniture,Toyota,Automatic,Saudi,Semi Full,2021,2.4,29000,145000
1521,Spark,Chevrolet,Automatic,Saudi,Standard,2020,1.4,16000,27000
1522,Avalon,Toyota,Automatic,Saudi,Standard,2019,3.5,43418,115000
1523,Azera,Hyundai,Automatic,Saudi,Semi Full,2019,3.5,44271,95000
1526,CX5,Mazda,Automatic,Gulf Arabic,Standard,2014,2.5,110000,41000
1527,Fluence,Renault,Automatic,Saudi,Standard,2015,1.6,121913,29000
1528,Optima,Kia,Automatic,Saudi,Semi Full,2015,2.4,173544,37000
1530,Accent,Hyundai,Automatic,Saudi,Full,2014,1.6,324000,20000
1532,5,MG,Automatic,Saudi,Full,2020,1.5,23000,44000
1537,Datsun,Nissan,Manual,Saudi,Full,2015,2.4,147000,45000
1538,Camry,Toyota,Manual,Saudi,Standard,2007,2.5,192000,20000
1539,Tahoe,Chevrolet,Automatic,Saudi,Semi Full,2011,5.3,188000,53000
1541,Furniture,Toyota,Automatic,Saudi,Full,2015,4.0,26000,52000
1544,Sierra,GMC,Automatic,Other,Standard,2015,5.3,145000,87500
1545,Explorer,Ford,Automatic,Saudi,Standard,2005,4.0,300000,7000
1547,Marquis,Ford,Automatic,Other,Full,2008,9.0,115,17000
1549,Caprice,Chevrolet,Automatic,Saudi,Full,2009,6.3,211000,40000
1551,Hilux,Toyota,Automatic,Saudi,Full,2016,2.7,90000,79000
1553,Avanza,Toyota,Automatic,Saudi,Semi Full,2018,1.6,41000,45000
1555,Koleos,Renault,Automatic,Saudi,Full,2017,2.5,103503,64000
1556,Pajero,Mitsubishi,Automatic,Saudi,Full,2017,3.5,81000,72000
1558,Hilux,Toyota,Manual,Gulf Arabic,Standard,2018,2.4,130000,80000
1559,Prado,Toyota,Automatic,Saudi,Semi Full,2015,4.0,160000,105000
1560,Avalon,Toyota,Automatic,Saudi,Semi Full,2021,3.5,6500,140000
1566,Pajero,Mitsubishi,Automatic,Saudi,Full,2016,3.8,146000,63000
1569,Land Cruiser,Toyota,Automatic,Saudi,Full,2007,4.5,315000,63000
1570,Suburban,GMC,Automatic,Gulf Arabic,Standard,2016,5.3,98000,140000
1571,Innova,Toyota,Automatic,Saudi,Standard,2018,2.7,87000,70000
1572,Hilux,Toyota,Automatic,Saudi,Full,2016,2.8,97000,91000
1573,Marquis,Ford,Automatic,Other,Semi Full,2011,4.6,300000,22000
1574,Hilux,Toyota,Manual,Saudi,Semi Full,2015,2.7,328000,65000
1576,Accord,Honda,Automatic,Gulf Arabic,Semi Full,2016,2.4,106000,66000
1577,Senta fe,Hyundai,Automatic,Saudi,Semi Full,2016,3.3,149000,47000
1580,Odyssey,Honda,Automatic,Saudi,Semi Full,2016,3.5,185000,52000
1581,Tahoe,Chevrolet,Automatic,Saudi,Full,2010,2.7,260000,65000
1582,Pajero,Mitsubishi,Automatic,Saudi,Standard,2016,3.5,137000,55000
1583,Corolla,Toyota,Manual,Saudi,Standard,2010,1.5,318800,18000
1585,F150,Ford,Automatic,Saudi,Standard,2011,5.0,133000,33000
1586,ES,Lexus,Automatic,Saudi,Semi Full,2015,3.5,246398,85000
1590,Senta fe,Hyundai,Automatic,Saudi,Full,2016,3.3,157000,69000
1591,Accent,Hyundai,Automatic,Saudi,Standard,2020,1.4,19717,41500
1592,ES,Lexus,Automatic,Gulf Arabic,Semi Full,2015,3.5,161000,74000
1593,Tucson,Hyundai,Automatic,Other,Semi Full,2016,2.4,119800,57000
1594,ES,Lexus,Automatic,Gulf Arabic,Full,2017,3.5,99000,129000
1595,Yaris,Toyota,Automatic,Saudi,Standard,2017,1.3,100000,27000
1597,Senta fe,Hyundai,Automatic,Saudi,Semi Full,2012,2.4,126000,42000
1598,Sierra,GMC,Automatic,Gulf Arabic,Full,2020,5.3,32000,158000
1600,FJ,Toyota,Automatic,Saudi,Full,2016,4.0,184000,100000
1602,Datsun,Nissan,Manual,Saudi,Full,2015,1.1,215267,31000
1605,Cerato,Kia,Automatic,Saudi,Standard,2017,1.6,97000,38500
1606,Hilux,Toyota,Manual,Saudi,Standard,2016,2.7,220424,62000
1607,H1,Hyundai,Automatic,Saudi,Semi Full,2015,2.4,140000,55000
1608,Abeka,Chevrolet,Automatic,Saudi,Full,2008,1.8,260,14000
1610,Hiace,Toyota,Manual,Saudi,Standard,2017,2.7,134007,70000
1612,GS,MG,Automatic,Saudi,Full,2016,1.5,139000,42000
1613,Altima,Nissan,Automatic,Saudi,Standard,2017,2.5,40000,59000
1615,Navara,Nissan,Automatic,Saudi,Semi Full,2014,2.5,178754,45000
1616,Accent,Hyundai,Automatic,Saudi,Standard,2018,1.4,97300,31000
1617,C300,Chrysler,Automatic,Saudi,Full,2019,5.7,45000,145000
1618,Prado,Toyota,Automatic,Saudi,Semi Full,2018,4.0,56000,150000
1621,Innova,Toyota,Automatic,Saudi,Standard,2018,2.7,275916,67000
1622,Navara,Nissan,Manual,Saudi,Full,2015,2.5,83000,45000
1623,IS,Lexus,Automatic,Saudi,Full,2005,3.5,400000,50000
1625,6,Mazda,Automatic,Saudi,Standard,2016,2.5,267000,50000
1626,Ciocca,Toyota,Automatic,Saudi,Standard,2013,5.7,114000,89000
1628,Furniture,Toyota,Automatic,Saudi,Semi Full,2016,2.4,120000,92000
1629,Other,Others,Manual,Other,Semi Full,2021,1.2,3000,5500
1632,Expedition,Ford,Manual,Saudi,Full,2012,4.8,304,38000
1633,Sierra,GMC,Automatic,Saudi,Full,2021,5.3,2000,190000
1634,Land Cruiser Pickup,Toyota,Manual,Gulf Arabic,Full,2016,4.0,243038,93500
1635,Accord,Honda,Automatic,Gulf Arabic,Full,2005,2.4,300000,11000
1637,Elantra,Hyundai,Automatic,Saudi,Standard,2019,1.6,106787,48500
1639,Camry,Toyota,Automatic,Saudi,Standard,2016,2.5,130000,55000
1640,Grand Marquis,Others,Automatic,Other,Full,2007,4.6,570000,24000
1641,G80,Genesis,Automatic,Saudi,Semi Full,2018,3.8,75000,110000
1642,Rav4,Toyota,Automatic,Saudi,Full,2018,1.8,63000,90000
1644,Sonata,Hyundai,Automatic,Saudi,Full,2016,2.4,230000,45000
1645,Accord,Honda,Automatic,Gulf Arabic,Full,2019,1.5,81000,95000
1646,Furniture,Toyota,Manual,Saudi,Semi Full,2015,4.0,70346,80500
1649,The 5,BMW,Automatic,Saudi,Semi Full,2019,2.0,29900,150000
1650,Corolla,Toyota,Automatic,Saudi,Standard,2013,1.6,186000,27000
1651,Prado,Toyota,Automatic,Saudi,Semi Full,2020,2.7,5000,153000
1653,Sunny,Nissan,Automatic,Saudi,Standard,2019,1.5,77000,28500
1655,Camry,Toyota,Automatic,Gulf Arabic,Semi Full,2015,2.4,140000,45000
1656,CX9,Mazda,Automatic,Saudi,Semi Full,2016,3.0,230000,50000
1657,Patrol,Nissan,Automatic,Saudi,Semi Full,2016,5.6,50000,150000
1659,Flying Spur,Others,Automatic,Saudi,Full,2010,5.0,58000,175000
1660,Corolla,Toyota,Automatic,Saudi,Standard,2018,1.6,83000,45000
1661,Camry,Toyota,Automatic,Saudi,Standard,2015,2.5,277000,48000
1662,Land Cruiser,Toyota,Automatic,Saudi,Full,2015,5.7,119000,180000
1665,Prado,Toyota,Automatic,Saudi,Standard,2015,2.7,250000,78000
1667,Tahoe,Chevrolet,Automatic,Saudi,Semi Full,2013,5.3,250000,70000
1671,C,Mercedes,Automatic,Other,Full,2019,2.0,15000,175000
1673,Hilux,Toyota,Manual,Saudi,Semi Full,2018,2.7,105558,76500
1674,Pilot,Honda,Automatic,Gulf Arabic,Full,2015,3.5,98000,75000
1675,L200,Mitsubishi,Manual,Saudi,Standard,2015,2.5,103000,30000
1676,Charger,Dodge,Automatic,Other,Full,2016,3.6,101000,95000
1677,Yaris,Toyota,Automatic,Saudi,Semi Full,2019,1.5,42628,38500
1679,Explorer,Ford,Automatic,Saudi,Standard,2014,3.6,209500,56000
1680,Elantra,Hyundai,Automatic,Saudi,Standard,2016,1.6,172600,35000
1681,Ranger,Ford,Manual,Saudi,Full,2015,3.2,145000,65000
1682,FJ,Toyota,Automatic,Gulf Arabic,Full,2017,1.6,74658,135000
1683,Sierra,GMC,Automatic,Saudi,Full,2015,5.3,86500,98000
1684,Escalade,Cadillac,Automatic,Other,Full,2016,6.2,119000,178000
1685,Patrol,Nissan,Automatic,Saudi,Full,2005,4.0,340000,35000
1687,CX5,Mazda,Automatic,Saudi,Full,2020,2.0,26000,112000
1688,Furniture,Toyota,Automatic,Saudi,Semi Full,2020,4.0,20406,132000
1689,A7,Audi,Automatic,Saudi,Full,2017,2.0,127000,135000
1690,Altima,Nissan,Automatic,Gulf Arabic,Full,2015,2.5,119500,47000
1692,X-Trail,Nissan,Automatic,Saudi,Standard,2016,2.5,115000,50000
1693,Furniture,Toyota,Automatic,Saudi,Full,2020,4.0,20000,130000
1694,Cadenza,Kia,Automatic,Gulf Arabic,Full,2011,3.3,334624,27500
1696,Yukon,GMC,Automatic,Saudi,Semi Full,2013,5.3,150000,65000
1697,Accord,Honda,Automatic,Saudi,Standard,2018,1.5,129000,68000
1700,X,BMW,Automatic,Gulf Arabic,Semi Full,2017,3.0,71000,170000
1701,Avalon,Toyota,Automatic,Saudi,Semi Full,2015,3.5,167,51000
1708,F150,Ford,Automatic,Gulf Arabic,Full,2018,5.0,59790,135000
1709,Caprice,Chevrolet,Automatic,Saudi,Standard,2014,6.0,35481,106500
1711,Charger,Dodge,Automatic,Other,Full,2015,5.7,119000,105000
1714,Quattroporte,Others,Automatic,Gulf Arabic,Full,2014,3.8,115000,125000
1716,Malibu,Chevrolet,Automatic,Saudi,Semi Full,2013,2.4,233000,20000
1717,Other,Honda,Manual,Saudi,Standard,2011,1.0,4200,6500
1718,Furniture,Toyota,Automatic,Saudi,Semi Full,2019,2.7,37000,107000
1720,Range Rover,Land Rover,Automatic,Gulf Arabic,Full,2016,3.5,122000,176000
1721,Yaris,Toyota,Automatic,Saudi,Standard,2019,1.5,36000,43000
1723,FJ,Toyota,Automatic,Gulf Arabic,Full,2020,6.0,50000,140000
1725,Cerato,Kia,Automatic,Saudi,Standard,2016,1.6,62000,29750
1726,ES,Lexus,Automatic,Other,Full,2017,3.0,69000,142000
1727,Ciocca,Toyota,Automatic,Saudi,Full,2016,5.7,134000,90000
1728,Hilux,Toyota,Manual,Saudi,Semi Full,2014,2.7,309000,45000
1730,Tahoe,Chevrolet,Automatic,Saudi,Full,2012,5.3,287928,58000
1731,Sonata,Hyundai,Automatic,Saudi,Standard,2018,2.4,55000,60000
1733,Furniture,Toyota,Automatic,Saudi,Full,2017,2.7,236000,75000
1734,Compass,Jeep,Automatic,Saudi,Semi Full,2019,2.4,43834,66000
1735,Tahoe,Chevrolet,Automatic,Gulf Arabic,Full,2003,5.3,45000,18000
1737,Dyna,Isuzu,Manual,Gulf Arabic,Full,2014,6.0,460000,120000
1739,Sonata,Hyundai,Automatic,Saudi,Full,2019,2.4,33000,85000
1741,Ranger,Ford,Manual,Saudi,Full,2011,2.5,168000,24000
1742,Prestige,Genesis,Automatic,Saudi,Standard,2016,3.8,131000,74000
1744,Innova,Toyota,Manual,Saudi,Standard,2006,2.5,498000,18000
1745,Cadenza,Kia,Automatic,Saudi,Standard,2020,3.5,5000,108000
1747,Hilux,Toyota,Automatic,Saudi,Full,2020,2.4,30000,147000
1748,Vego,Ford,Automatic,Saudi,Standard,2019,1.5,47856,27500
1749,Pajero,Mitsubishi,Automatic,Gulf Arabic,Semi Full,2016,6.0,200000,53000
1750,Viano,Mercedes,Automatic,Saudi,Full,2015,3.5,119000,99000
1753,Accord,Honda,Automatic,Other,Full,2010,2.4,205,30000
1758,ES,Lexus,Automatic,Gulf Arabic,Full,2017,3.5,100000,115000
1759,Sunny,Nissan,Automatic,Saudi,Standard,2019,1.5,92000,28500
1761,Prestige,Genesis,Automatic,Saudi,Standard,2016,3.8,165000,84000
1764,Bus Urvan,Nissan,Manual,Gulf Arabic,Full,2010,2.7,2012,14500
1765,Macan,Others,Automatic,Saudi,Full,2016,3.0,86000,158000
1767,Sonata,Hyundai,Automatic,Saudi,Semi Full,2018,2.4,78000,63000
1768,Sonata,Hyundai,Automatic,Saudi,Standard,2018,2.4,65000,64000
1769,Innova,Toyota,Automatic,Saudi,Standard,2020,2.7,24552,76500
1770,Rio,Kia,Automatic,Saudi,Standard,2016,1.4,154000,23000
1772,Suburban,Chevrolet,Automatic,Other,Full,2016,5.3,192000,143000
1773,Pajero,Mitsubishi,Automatic,Saudi,Full,2016,3.5,126000,64000
1774,Elantra,Hyundai,Automatic,Saudi,Standard,2019,2.0,18197,53000
1776,Yukon,GMC,Automatic,Saudi,Standard,2010,5.3,379538,65000
1777,Blazer,Chevrolet,Automatic,Other,Full,2005,2.0,213000,13500
1778,Yaris,Toyota,Automatic,Saudi,Full,2020,1.5,2100,50000
1779,Innova,Toyota,Automatic,Saudi,Full,2017,2.7,139400,58000
1780,Innova,Toyota,Automatic,Saudi,Standard,2020,2.7,74000,75000
1781,Accent,Hyundai,Automatic,Saudi,Semi Full,2017,1.4,174000,24000
1782,IS,Lexus,Automatic,Saudi,Full,2015,3.5,181000,60000
1784,Hilux,Toyota,Manual,Saudi,Standard,2009,1.5,25788,30000
1785,Yukon,GMC,Automatic,Saudi,Standard,2007,5.3,221000,30000
1786,Caprice,Chevrolet,Automatic,Saudi,Standard,2009,3.5,320000,27000
1787,Taurus,Ford,Automatic,Saudi,Standard,2018,3.5,63000,80000
1788,Taurus,Ford,Automatic,Saudi,Standard,2016,3.5,136000,58000
1789,Corolla,Toyota,Automatic,Saudi,Semi Full,2018,1.6,124000,40000
1792,LX,Lexus,Automatic,Saudi,Full,2000,5.7,460,46000
1793,Pathfinder,Nissan,Automatic,Saudi,Full,2006,3.5,300,21000
1797,Land Cruiser Pickup,Toyota,Manual,Gulf Arabic,Full,2016,4.0,315,85000
1799,RX,Lexus,Automatic,Gulf Arabic,Full,2017,3.5,59073,186500
1801,CX3,Mazda,Automatic,Saudi,Standard,2020,2.0,14501,66000
1802,Rav4,Toyota,Automatic,Other,Full,2018,2.5,61000,83000
1803,Land Cruiser Pickup,Nissan,Automatic,Saudi,Full,2016,4.8,44000,95000
1804,Taurus,Ford,Automatic,Saudi,Standard,2018,3.5,91355,74500
1806,Cerato,Kia,Automatic,Saudi,Standard,2019,1.5,30766,42000
1808,Tahoe,Chevrolet,Automatic,Saudi,Semi Full,2016,5.3,107320,130000
1810,Tahoe,Chevrolet,Automatic,Saudi,Full,2016,5.3,146000,118000
1811,H1,Hyundai,Automatic,Saudi,Standard,2015,4.0,400000,43000
1815,Traverse,Chevrolet,Automatic,Saudi,Standard,2020,3.6,22800,100000
1817,Pajero,Mitsubishi,Automatic,Saudi,Standard,2015,3.5,264000,38000
1818,Navara,Nissan,Manual,Saudi,Standard,2015,2.5,119000,37000
1820,FJ,Toyota,Automatic,Gulf Arabic,Full,2015,4.0,200000,88000
