,Type,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
1016,Juke,Nissan,Automatic,Saudi,Semi Full,2014,2.0,68000,35000
1019,Hilux,Toyota,Manual,Gulf Arabic,Semi Full,2016,2.7,70000,77000
1020,Camry,Toyota,Automatic,Saudi,Full,2019,2.5,49000,82000
1021,Yukon,GMC,Automatic,Saudi,Semi Full,2014,5.3,300,65000
1023,Camry,Toyota,Automatic,Saudi,Standard,2016,2.5,183541,53000
1024,Previa,Toyota,Automatic,Saudi,Standard,2002,2.9,30923,12000
1025,Sonata,Hyundai,Automatic,Saudi,Semi Full,2020,2.5,46000,85000
1026,Sportage,Kia,Automatic,Saudi,Standard,2016,2.4,109000,40000
1027,Hiace,Toyota,Manual,Saudi,Standard,2017,2.7,133148,70000
1028,Hilux,Toyota,Manual,Saudi,Semi Full,2018,2.7,201000,85000
1029,Spark,Chevrolet,Automatic,Saudi,Standard,2019,1.4,63744,25000
1030,Tucson,Hyundai,Automatic,Saudi,Semi Full,2019,1.0,67000,75000
1031,Sonata,Hyundai,Automatic,Saudi,Semi Full,2016,2.4,210000,35000
1033,Yukon,GMC,Automatic,Saudi,Standard,2018,5.3,196600,130000
1036,Elantra,Hyundai,Automatic,Saudi,Full,2015,2.0,169,30000
1038,Camry,Toyota,Automatic,Other,Full,2009,2.5,350000,25000
1040,Tahoe,Chevrolet,Automatic,Saudi,Standard,2015,5.3,150000,100000
1042,Hilux,Toyota,Manual,Saudi,Full,2015,2.7,328000,66000
1043,Camaro,Chevrolet,Automatic,Gulf Arabic,Full,2013,5.7,243,55000
1044,Rav4,Toyota,Automatic,Saudi,Full,2014,2.5,155,55000
1045,Land Cruiser,Toyota,Automatic,Gulf Arabic,Semi Full,2003,1.0,479364,35000
1048,Camry,Toyota,Automatic,Saudi,Standard,2017,2.4,97000,68000
1049,H1,Hyundai,Automatic,Saudi,Standard,2018,2.4,88826,60500
1050,Accent,Hyundai,Automatic,Saudi,Standard,2017,1.6,169700,30000
